,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
325,Wines,1/2 cup,120,164.0,0,0,0.0,0.0,9.0,Beverages
326,Table (12.2% alcohol),1/2 cup,120,100.0,0,0,0.0,0.0,5.0,Beverages
327,Carbonated drinks Artificially sweetened,12 oz.,346,0.0,0,0,0.0,0.0,0.0,Beverages
328,Club soda,12 oz.,346,0.0,0,0,0.0,0.0,0.0,Beverages
329,Cola drinks,12 oz.,346,137.0,0,0,0.0,0.0,38.0,Beverages
330,Fruit-flavored soda,12 oz.,346,161.0,0,0,0.0,0.0,42.0,Beverages
331,Ginger ale,12 oz.,346,105.0,0,0,0.0,0.0,28.0,Beverages
332,Root beer,12 oz.,346,140.0,0,0,0.0,0.0,35.0,Beverages
333,Coffee,1 cup,230,3.0,0,0,0.0,0.0,1.0,Beverages
334,Tea,1 cup,230,4.0,0,0,0.0,0.0,1.0,Beverages
