,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
24,Roquefort type,1 oz.,28,105.0,6,9,8.0,0.0,0.0,Dairy
25,Swiss,1 oz.,28,105.0,7,8,7.0,0.0,0.0,Dairy
26,Eggs raw,2,100,150.0,12,12,10.0,0.0,0.0,Dairy
27,Eggs Scrambled or fried,2,128,220.0,13,16,14.0,0.0,1.0,Dairy
28,Yolks,2,34,120.0,6,10,8.0,0.0,0.0,Fats
29,Butter,1T.,14,100.0,0,11,10.0,0.0,0.0,Fats
30,Butter,1/2 cup,112,113.0,114,115,116.0,117.0,118.0,Fats
31,Butter,1/4 lb.,112,113.0,114,115,116.0,117.0,118.0,Fats
32,Hydrogenated cooking fat,1/2 cup,100,665.0,0,100,88.0,0.0,0.0,Fats
33,Lard,1/2 cup,110,992.0,0,110,92.0,0.0,0.0,Fats
34,Margarine,1/2 cup,112,806.0,0,91,76.0,0.0,0.0,Fats
35,Margarine 2 pat or,1 T.,14,100.0,0,11,9.0,0.0,0.0,Fats
36,Mayonnaise,1 T.,15,110.0,0,12,5.0,0.0,0.0,Fats
37,Corn oil,1 T.,14,125.0,0,14,5.0,0.0,0.0,Fats
38,Olive oil,1T.,14,125.0,0,14,3.0,0.0,0.0,Fats
39,Safflower seed oil,1 T.,14,125.0,0,14,3.0,0.0,0.0,Fats
40,French dressing,1 T.,15,60.0,0,6,2.0,0.0,2.0,Fats
41,Thousand Island sauce,1 T.,15,75.0,0,8,3.0,0.0,1.0,Fats
42,Salt pork,2 oz.,60,470.0,3,55,,0.0,0.0,Meat Poultry
43,Bacon,2 slices,16,95.0,4,8,7.0,0.0,1.0,Meat Poultry
44,Beef,3 oz.,85,245.0,23,16,15.0,0.0,0.0,Meat Poultry
45,Hamburger,3 oz.,85,245.0,21,17,15.0,0.0,0.0,Meat Poultry
46,Ground lean,3 oz.,85,185.0,24,10,9.0,0.0,0.0,Meat Poultry
47,Roast beef,3 oz.,85,390.0,16,36,35.0,0.0,0.0,Meat Poultry
48,Steak,3 oz.,85,330.0,20,27,25.0,0.0,0.0,Meat Poultry
49,Steak lean as round,3 oz.,85,220.0,24,12,11.0,0.0,0.0,Meat Poultry
50,Corned beef,3 oz.,85,185.0,22,10,9.0,0.0,0.0,Meat Poultry
51,Corned beef hash canned,3 oz.,85,120.0,12,8,7.0,0.0,6.0,Meat Poultry
52,Corned beef hash Dried,2 oz.,56,115.0,19,4,4.0,0.0,0.0,Meat Poultry
53,Pot-pie,1 pie,227,480.0,18,28,25.0,0.0,32.0,Meat Poultry
54,Corned beef hash Stew,1 cup,235,185.0,15,10,9.0,0.0,15.0,Meat Poultry
55,chicken,3 oz.,85,185.0,23,9,7.0,0.0,0.0,Meat Poultry
56,Fried breast or leg and thigh chicken,3 oz.,85,245.0,25,15,11.0,0.0,0.0,Meat Poultry
57,Roasted chicken,3 1/2 oz.,100,290.0,25,20,16.0,0.0,0.0,Meat Poultry
58,Chicken livers fried,3 med.,100,140.0,22,14,12.0,0.0,2.3,Meat Poultry
59,Duck domestic,3 1/2 oz.,100,370.0,16,28,0.0,0.0,0.0,Meat Poultry
60,Lamb chop broiled,4 oz.,115,480.0,24,35,33.0,0.0,0.0,Meat Poultry
61,Leg roasted,3 oz.,86,314.0,20,14,14.0,0.0,0.0,Meat Poultry
62,Shoulder braised,3 oz.,85,285.0,18,23,21.0,0.0,0.0,Meat Poultry
63,Pork chop 1 thick,3 1/2 oz.,100,260.0,16,21,18.0,0.0,0.0,Meat Poultry
64,Ham pan-broiled,3 oz.,85,290.0,16,22,19.0,0.0,0.0,Meat Poultry
65,Ham as ,2 oz.,57,170.0,13,13,11.0,0.0,0.0,Meat Poultry
66,Ham canned spiced,2 oz.,57,165.0,8,14,12.0,0.0,1.0,Meat Poultry
67,Pork roast,3 oz.,85,310.0,21,24,21.0,0.0,0.0,Meat Poultry
68,Pork sausage,3 1/2 oz.,100,475.0,18,44,40.0,0.0,0.0,Meat Poultry
69,Turkey,3 1/2 oz.,100,265.0,27,15,0.0,0.0,0.0,Meat Poultry
70,Veal,3 oz.,85,185.0,23,9,8.0,0.0,0.0,Meat Poultry
71,Roast,3 oz.,85,305.0,13,14,13.0,0.0,0.0,Meat Poultry
72,Clams,3 oz.,85,87.0,12,1,0.0,0.0,2.0,Fish Seafood
73,Cod,3 1/2 oz.,100,170.0,28,5,0.0,0.0,0.0,Fish Seafood
74,Crab meat,3 oz.,85,90.0,14,2,0.0,0.0,1.0,Fish Seafood
75,Fish sticks fried,5,112,200.0,19,10,5.0,0.0,8.0,Fish Seafood
76,Flounder,3 1/2 oz.,100,200.0,30,8,0.0,0.0,0.0,Fish Seafood
77,Haddock,3 oz.,85,135.0,16,5,4.0,0.0,6.0,Fish Seafood
78,Halibut,3 1/2 oz.,100,182.0,26,8,0.0,0.0,0.0,Fish Seafood
